Standardized_SMILES,CYP1A2,CYP2A6,CYP2B6,CYP2C19,CYP2C8,CYP2C9,CYP2D6,CYP2E1,CYP3A4
BrC(Br)Br,,,,0.0,,0.0,,,
Brc1c(Br)c(Br)c2n[nH]nc2c1Br,,,,0.0,,0.0,,,
Brc1cccc(-c2cc(-c3ccc4c(c3)OCO4)[nH]n2)c1,,0.0,,,,,,0.0,
Brc1cccc(-c2cc(NCc3ccncc3)[n+]3[nH]ccc3n2)c1,,0.0,,,,,,0.0,
Brc1cccc(-c2cc(NCc3ccncc3)[n+]3[nH]cnc3n2)c1,,0.0,,,,,,0.0,
Brc1cnc2c(NCc3cncnc3)cc(-c3ccccc3)cn12,,0.0,0.0,,0.0,,,0.0,
Brc1cnn2c(NCc3cccnc3)cc(-c3ccccc3)nc12,,0.0,0.0,,,,,0.0,
Brc1cnn2c(NCc3ccncc3)cc(-c3ccccc3)nc12,,0.0,0.0,,,,,0.0,
Brc1cnn2c(NCc3cncnc3)cc(-c3ccccc3)cc12,,0.0,0.0,,,,,0.0,
Brc1ncnc2nc[nH]c12,,,,,0.0,0.0,,,
C#CC(C)(C)NC(=O)c1cnc(-c2ccccc2)nc1-c1ccccc1,,0.0,,,,,,0.0,
C#CC(C)(C)NC(=O)c1sccc1Oc1ccc(F)cc1[N+](=O)[O-],,0.0,,,,,,,
C#CC(C)(CC)OC(=O)c1ccccc1C(=O)O,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
C#CC(C)(O)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
C#CC(O)(/C=C/Cl)CC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C#CC1(OC(N)=O)CCCCC1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
C#CCC(Cc1cnc2nc(N)nc(N)c2n1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C#CCC/C(O)=C(\C#N)C(=O)Nc1ccc(C(F)(F)F)cc1,,0.0,,,0.0,,,0.0,
C#CCC1(OC(N)=O)CCCCC1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,
C#CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)nc(F)nc21,,0.0,0.0,,,,,,
C#CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2Cl)nc2c(N)ncnc21,,0.0,,,,,,0.0,
C#CCCCn1c(Cc2cc(OC)ccc2OC)nc2c(N)nc(F)nc21,,0.0,,,,,,,
C#CCN(CC=C)C(=O)C1CCC(=O)N(CCCc2ccccc2)C1,,0.0,,,,,,0.0,
C#CCN(Cc1cc2c(=O)nc(C)[nH]c2cc1C)c1ccc(C(=O)N[C@@H](CCc2nnn[nH]2)C(=O)O)c(F)c1,0.0,0.0,0.0,0.0,,,0.0,0.0,
C#CCN(Cc1ccc2[nH]c(N)nc(=O)c2c1)c1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C#CCN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,,0.0,,,,,,0.0,
C#CCN1CCN(c2c(Cl)cccc2NC(=O)c2ccc(Br)o2)CC1,,0.0,,,,,,0.0,
C#CCNC(=O)C1=C[C@H](C)[C@@H](CCCO)[C@H](OCC)O1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C#CCNC(=O)C1=C[C@H](c2coc3ccccc3c2=O)[C@@H](CCCO)[C@H](OCC)O1,,0.0,0.0,,0.0,,,0.0,
C#CCNC(Cc1ccc(O)c2ncccc12)C(=O)OCC,0.0,0.0,0.0,0.0,0.0,,,0.0,
C#CCN[C@@H]1CCc2ccc(O)cc21,,0.0,,,0.0,,,0.0,
C#CCN[C@@H]1CCc2ccc(OC(=O)N(C)CC)cc21,,0.0,,,,,,0.0,
C#CCOC(C(=O)OCCN(C)C)(c1ccccc1)c1ccccc1,,0.0,,,,,,0.0,
C#CCO[C@H]1CN2CCC1CC2,,0.0,,,0.0,,,0.0,
C#CCOc1cc(-n2nc3n(c2=O)CCCC3)c(Cl)cc1Cl,,0.0,,,,,,0.0,
C#CCOc1ccc(Nc2nc(Nc3ccc(C)c(S(=O)(=O)NC(=O)CC)c3)ncc2F)cc1,,0.0,0.0,,,,,0.0,
C#C[C@@]1(CO)C=C[C@H](n2cc(C)c(=O)[nH]c2=O)O1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C#C[C@@]1(O)[C@@H](CO)O[C@@H](n2ccc(N)nc2=O)[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#C[C@H](N)C(=O)O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C#C[C@H]1CC[C@@H](CN)N1C(=O)[C@@H](N)C1CCCC1,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,
C#C[C@]1(CO)O[C@@H](n2cnc3c(N)nc(F)nc32)C[C@@H]1O,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C#C[C@]1(O)CC[C@@]2(C)[C@@H](CC[C@@H]3[C@@H]2CC[C@]2(C)/C(=N/O)CC[C@@H]32)C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CCC4=C3C=C[C@@]21C,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCC4=Cc5oncc5C[C@]4(C)[C@H]3CC[C@@]21C,,0.0,0.0,,0.0,,0.0,0.0,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3[C@@H](OC)C[C@@]21C,,0.0,,,,,,,
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC5CCCC5)ccc4[C@H]3CC[C@@]21C,,0.0,,,,,,0.0,
C#C[C@]1(O)CC[C@H]2[C@@H]3[C@H](C)CC4=C(CCC(=O)C4)[C@H]3CC[C@@]21C,0.0,0.0,0.0,,0.0,,0.0,0.0,
C#C[C@]1(OC(C)=O)CC[C@H]2[C@@H]3CC=C4C=C(OC5CCCC5)CC[C@@H]4[C@H]3CC[C@@]21C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
C#Cc1c[nH]c(=O)[nH]c1=O,,0.0,0.0,0.0,0.0,0.0,0.0,,
C#Cc1ccc(Nc2c(C(=O)NOCCO)ccc(F)c2F)c(F)c1,,0.0,0.0,,,,,0.0,
C#Cc1ccc([C@H]2C=C(C(=O)N3CCOCC3)O[C@@H](OCc3ccc(CO)cc3)C2)cc1,0.0,0.0,0.0,,0.0,,,0.0,
C#Cc1cccc(Nc2c(C#N)cnc3cc(OCC)c(NC(=O)/C=C/CN(C)C)cc23)c1,,0.0,0.0,,,,,0.0,
C#Cc1cccc(Nc2ncnc3cc(OC)c(OCCCCCCC(=O)NO)cc23)c1,,0.0,0.0,,,,,,
C#Cc1cccc(Nc2ncnc3cc(OC)c(O[C@@H]4CCN(C)CC4(F)F)cc23)c1F,,0.0,0.0,,,,,0.0,
C(=C/[C@H]1CCNC1)\c1cncnc1,,,0.0,0.0,0.0,0.0,,,
C(=C/c1cccs1)\c1cc[nH]n1,,,0.0,0.0,0.0,0.0,0.0,,
C(=N/NC1=NCCN1)\c1c2ccccc2c(/C=N/NC2=NCCN2)c2ccccc12,,0.0,0.0,,0.0,,,0.0,
C(=N/n1cnnc1)\C1CCCCC1,,,0.0,0.0,0.0,0.0,0.0,0.0,
